from,to,direction
G44,G1193,+
G44,G1005,+
G44,G994,+
G44,G821,+
G44,G947,-
G44,G943,-
G100,G792,+
G100,G673,+
G100,G1594,+
G100,G371,+
G100,G1350,+
G100,G212,+
G100,G645,+
G100,G833,+
G100,G410,+
G100,G1289,+
G100,G116,+
G100,G1102,+
G100,G589,+
G100,G1426,+
G100,G475,-
G100,G221,-
G100,G1640,+
G100,G1524,+
G100,G1271,+
G100,G774,+
G100,G948,+
G100,G517,-
G100,G984,+
G100,G780,+
G100,G302,+
G100,G264,+
G100,G1019,+
G100,G956,+
G100,G604,+
G100,G1165,+
G100,G1297,-
G100,G842,-
G100,G606,+
G100,G6,-
G62,G494,+
G62,G360,+
G62,G817,+
G62,G902,+
G69,G1621,+
G69,G679,+
G69,G1491,+
G69,G255,+
G69,G1506,+
G69,G1220,+
G92,G1607,-
G92,G1141,-
G92,G811,-
G92,G230,-
G92,G1550,-
G92,G1296,-
G92,G436,-
G92,G1358,-
G92,G508,-
G92,G1269,-
G92,G406,-
G92,G554,-
G92,G356,-
G92,G992,-
G92,G1525,-
G92,G984,-
G92,G341,-
G92,G865,-
G92,G502,-
G92,G361,-
G92,G738,-
G92,G1287,-
G92,G1039,-
G92,G1121,-
G92,G528,-
G92,G358,-
G92,G220,-
G92,G1060,-
G92,G780,-
G92,G1596,-
G25,G1030,-
G77,G115,+
G77,G1565,+
G77,G119,+
G117,G1372,-
G117,G1496,-
G117,G487,-
G117,G1207,-
G117,G578,-
G65,G201,-
G16,G888,+
G16,G1241,+
G16,G1440,+
G16,G825,+
G16,G758,+
G16,G1283,+
G16,G1229,+
G16,G1064,+
G16,G329,+
G16,G1134,+
G16,G1281,-
G16,G445,-
G16,G316,-
G16,G109,-
G16,G1012,+
G16,G308,+
G16,G853,+
G16,G1609,+
G170,G1380,+
G16,G1380,+
G170,G115,-
G170,G119,-
G170,G888,+
G170,G1241,+
G170,G1440,+
G170,G825,+
G170,G16,+
G170,G758,+
G170,G1283,+
G170,G1229,+
G170,G1064,+
G170,G329,+
G170,G1134,+
G170,G1281,-
G170,G445,-
G170,G316,-
G170,G109,-
G170,G1012,+
G170,G308,+
G170,G853,+
G170,G1609,+
G170,G1378,+
G16,G119,-
G16,G115,-
G16,G1378,+
G145,G810,-
G175,G145,-
G175,G810,-
G145,G175,-
G27,G57,+
G57,G731,+
G57,G1424,+
G57,G210,+
G57,G27,+
G57,G1321,+
G37,G249,+
G37,G975,+
G37,G248,+
G37,G1364,+
G37,G302,+
G37,G264,+
G37,G1019,+
G37,G956,+
G37,G636,+
G37,G543,+
G37,G422,+
G37,G165,+
G37,G179,+
G37,G951,+
G37,G1297,+
G37,G842,+
G37,G796,+
G37,G1309,+
G116,G1333,-
G116,G1519,+
G116,G293,+
G116,G657,+
G116,G857,+
G116,G109,-
G116,G316,-
G116,G445,-
G116,G1281,-
G116,G1461,+
G42,G822,+
G42,G278,+
G133,G14,-
G133,G986,-
G133,G1289,-
G133,G410,-
G133,G833,-
G133,G645,-
G133,G212,-
G133,G1350,-
G133,G371,-
G133,G129,-
G133,G99,-
G133,G893,-
G133,G1296,+
G133,G1598,-
G133,G1550,+
G28,G1183,+
G28,G1241,-
G28,G365,+
G28,G888,-
G143,G1494,-
G143,G748,-
G143,G1085,-
G143,G267,+
G143,G326,+
G143,G1268,+
G34,G1188,+
G74,G975,+
G74,G52,+
G52,G479,+
G52,G691,+
G52,G422,+
G52,G1212,+
G52,G1204,+
G52,G165,+
G52,G179,+
G52,G951,+
G52,G1297,+
G52,G842,+
G52,G463,+
G52,G1463,+
G52,G796,+
G52,G364,+
G52,G1171,+
G52,G1265,+
G52,G1062,+
G52,G837,+
G52,G636,+
G52,G956,+
G52,G1019,+
G52,G264,+
G52,G302,+
G52,G1364,+
G52,G998,+
G52,G392,+
G52,G433,+
G52,G1115,+
G52,G248,+
G52,G767,+
G52,G78,+
G52,G1612,+
G52,G975,+
G55,G915,-
G55,G933,-
G55,G1086,-
G3,G1288,+
G3,G1492,+
G3,G510,+
G3,G828,+
G3,G1536,+
G3,G1252,+
G168,G1536,+
G168,G3,+
G168,G1252,+
G168,G1288,+
G168,G828,+
G168,G510,+
G168,G1492,+
G50,G1385,+
G50,G784,-
G50,G129,-
G50,G1595,+
G50,G1362,+
G50,G1346,+
G50,G1618,+
G50,G1466,+
G50,G1206,+
G50,G234,+
G50,G1147,+
G6,G496,-
G6,G1401,-
G71,G990,-
G71,G471,-
G71,G460,-
G71,G946,-
G71,G1274,-
G71,G1302,-
G71,G756,-
G71,G988,-
G71,G1420,-
G71,G936,-
G71,G1125,-
G1,G1302,-
G1,G1427,-
G1,G988,+
G1,G1363,+
G1,G291,+
G1,G1130,-
G1,G919,-
G1,G936,-
G1,G1125,-
G1,G499,-
G1,G1162,-
G105,G1247,+
G86,G239,-
G86,G855,-
G86,G836,-
G140,G960,-
G140,G712,-
G140,G989,-
G140,G901,-
G140,G1405,-
G140,G1004,-
G140,G1122,-
G195,G836,-
G195,G897,-
G195,G855,-
G195,G412,-
G195,G1007,-
G195,G239,-
G53,G1069,+
G53,G704,+
G152,G864,+
G152,G1439,+
G152,G577,+
G152,G1190,+
G152,G472,+
G31,G1369,+
G31,G824,+
G31,G126,+
G91,G1292,-
G91,G1237,-
G91,G1634,-
G91,G1264,-
G91,G325,-
G91,G618,-
G91,G323,-
G91,G1392,-
G91,G1476,-
G104,G18,-
G18,G104,-
G185,G435,+
G193,G1140,+
G193,G1608,+
G163,G311,-
G163,G927,-
G163,G408,-
G163,G1090,-
G163,G304,-
G163,G1062,-
G98,G16,-
G86,G863,-
G128,G443,-
G21,G18,+
G14,G350,+
G21,G613,-
G68,G1361,+
G176,G1080,+
G162,G953,+
G32,G730,-
G87,G903,-
G90,G1248,+
G4,G1323,-
G86,G113,-
G195,G777,-
G194,G210,-
G187,G500,-
G100,G186,-
G149,G1491,+
G74,G948,+
G129,G455,+
G70,G245,-
G161,G1036,-
G117,G1095,+
G68,G849,+
G80,G652,-
G45,G624,-
G178,G888,+
G145,G356,-
G179,G225,-
G121,G1455,-
G91,G307,-
G156,G1121,-
G34,G1343,-
G32,G1336,+
G63,G1276,+
G13,G1181,+
G139,G405,-
G138,G215,+
G109,G211,+
G93,G917,+
G91,G1605,-
G49,G1471,+
G75,G646,+
G4,G688,+
G58,G319,-
G72,G946,+
G91,G554,+
G189,G766,+
G173,G592,-
G28,G1250,+
G112,G164,+
G150,G1197,-
G108,G1589,-
G122,G785,+
G142,G443,+
G23,G1221,+
G192,G915,+
G42,G842,+
G39,G250,+
G22,G1252,-
G100,G902,-
G133,G1111,-
G72,G358,-
G98,G763,+
G34,G1158,-
G147,G1016,+
G178,G1435,-
G94,G432,+
G59,G230,-
G127,G1428,-
G125,G1125,+
G116,G383,-
G68,G521,-
G177,G1236,+
G145,G614,+
G180,G778,-
G130,G271,+
G38,G1264,+
G86,G1283,-
G95,G235,-
G173,G1056,-
G21,G1447,-
G16,G1368,-
G12,G1226,-
G4,G320,-
G125,G806,+
G11,G382,-
G106,G544,+
G90,G1586,-
G131,G1242,+
G115,G857,-
G63,G911,-
G53,G1275,+
G144,G694,-
G8,G591,-
G58,G1316,-
G4,G250,+
G98,G308,+
G116,G1125,-
G130,G443,+
G74,G898,-
G80,G156,+
G36,G79,-
G140,G1394,+
G105,G406,-
G24,G484,+
G13,G432,+
G129,G625,+
G132,G964,+
G15,G216,+
G41,G169,-
G141,G1202,+
G15,G1402,+
G126,G1621,-
G110,G754,-
G91,G800,+
G90,G1121,+
G183,G522,-
G87,G1379,-
G182,G839,-
G179,G404,-
G150,G509,+
G180,G1255,-
G45,G1407,+
G20,G1171,+
G51,G620,+
G132,G1083,-
G161,G330,-
G28,G1432,-
G112,G270,+
G120,G967,-
G57,G224,-
G194,G1138,+
G34,G887,+
G19,G615,+
G53,G311,-
G42,G608,-
G102,G1189,-
G41,G1061,-
G173,G1239,+
G3,G549,+
G16,G526,-
G113,G1070,-
G54,G1470,-
G140,G676,+
G130,G644,-
G146,G435,-
G90,G1289,+
G71,G1530,+
G159,G693,+
G142,G1497,-
G191,G745,-
G118,G585,+
G185,G465,-
G44,G748,+
G15,G290,-
G22,G334,+
G84,G34,+
G32,G1309,+
G71,G104,-
G1,G167,+
G68,G1453,-
G14,G748,-
G5,G117,-
G28,G803,-
G121,G308,-
G22,G514,-
G88,G161,-
G137,G2,+
G24,G215,+
G185,G679,-
G169,G895,+
G152,G1562,-
G182,G32,-
G41,G1066,-
G177,G1289,-
G25,G1182,-
G57,G1558,-
G144,G966,+
G144,G724,-
G86,G898,+
G31,G1168,+
G6,G1043,+
G36,G747,-
G83,G777,-
G38,G527,+
G143,G1561,+
G141,G866,-
G92,G423,+
G87,G539,-
G42,G1115,+
G188,G800,-
G13,G754,-
G91,G1134,+
G65,G1306,-
G30,G1308,+
G1,G849,+
G10,G1085,-
G173,G284,+
G132,G483,-
G2,G1353,-
G63,G1066,-
G21,G830,-
G138,G223,+
G195,G36,+
G122,G806,-
G37,G816,+
G8,G180,+
G123,G927,-
G113,G418,-
G152,G722,-
G41,G1350,-
G45,G1140,+
G134,G85,-
G195,G235,+
G195,G1520,+
G59,G605,+
G192,G1036,-
G177,G147,-
G14,G66,+
G146,G476,-
G72,G248,+
G110,G455,+
G163,G734,+
G155,G1064,+
G64,G118,+
G188,G765,+
G140,G1533,+
G83,G1455,-
G34,G241,+
G36,G320,+
G87,G420,+
G107,G1511,+
G134,G514,+
G2,G1415,-
G138,G1122,-
G22,G253,-
G110,G1156,-
G121,G10,-
G42,G319,-
G183,G707,-
G173,G1292,+
G3,G1491,+
G92,G1430,-
G121,G581,-
G19,G1113,+
G81,G170,-
G6,G1232,+
G49,G119,-
G75,G1524,-
G30,G1123,-
G185,G1538,-
G79,G94,+
G91,G864,-
G96,G110,+
G176,G702,-
G155,G435,+
G87,G1360,+
G88,G269,-
G25,G1454,-
G69,G893,+
G97,G1064,-
G91,G143,+
G11,G517,-
G14,G295,+
G7,G1208,-
G20,G845,+
G76,G441,+
G194,G404,+
G13,G931,-
G104,G1442,+
G59,G444,+
G33,G1249,+
G21,G1607,-
G14,G489,-
G100,G1285,+
G110,G1351,-
G142,G73,-
G84,G42,-
G87,G1184,-
G86,G1129,-
G92,G431,+
G99,G507,-
G33,G17,-
G131,G851,+
G111,G818,-
G88,G744,-
G193,G1208,+
G119,G1426,+
G158,G491,+
G1,G201,-
G133,G433,-
G120,G1140,-
G140,G859,-
G186,G821,+
G83,G219,-
G141,G1239,-
G31,G455,+
G112,G439,+
G110,G1513,+
G59,G118,-
G53,G560,+
G42,G188,-
G68,G845,+
G107,G630,-
G74,G621,-
G34,G875,-
G152,G919,-
G142,G729,-
G58,G439,+
G24,G1597,+
G191,G952,-
G23,G1107,-
G104,G1078,-
G17,G456,-
G2,G27,+
G52,G577,-
G90,G1315,-
G129,G1203,+
G149,G197,+
G143,G35,+
G164,G315,-
G127,G1219,-
G133,G691,-
G105,G511,-
G108,G1604,-
G74,G530,-
G65,G901,-
G7,G327,+
G118,G792,+
G71,G45,+
G59,G799,+
G129,G290,-
G71,G208,-
G109,G608,+
G16,G687,+
G188,G1448,-
G1,G989,-
G79,G957,+
G13,G1518,+
G107,G512,-
G109,G946,+
G160,G1491,+
G68,G398,+
G161,G482,+
G105,G393,-
G119,G201,+
G63,G403,+
G125,G621,+
G68,G471,-
G68,G254,+
G195,G467,-
G72,G1274,+
G163,G942,-
G82,G1412,-
G156,G1274,+
G66,G1250,-
G79,G1199,-
G135,G1499,+
G39,G1571,-
G63,G352,-
G43,G711,-
G85,G814,+
